,incident_date,incident_parent,location,neighborhood,council_district,police_district
3527,2020-12-06 01:00:00,Theft,-78.808 42.89,Lovejoy,LOVEJOY,District C
3528,2020-12-06 03:00:00,Robbery,-78.862 42.869,First Ward,FILLMORE,District A
3529,2020-12-06 03:07:00,Sexual Offense,-78.857 42.878,Lower West Side,FILLMORE,District B
3530,2020-12-06 06:10:00,Breaking & Entering,-78.821 42.896,Genesee-Moselle,FILLMORE,District C
3531,2020-12-06 07:00:00,Sexual Offense,-78.866 42.912,Masten Park,ELLICOTT,District B
3532,2020-12-06 07:22:00,Sexual Offense,-78.808 42.914,Schiller Park,LOVEJOY,District C
3533,2020-12-06 10:00:00,Sexual Offense,-78.872 42.888,Central,ELLICOTT,District B
3534,2020-12-06 12:56:00,Assault,-78.907 42.956,Riverside,NORTH,District D
3535,2020-12-06 13:21:00,Breaking & Entering,-78.855 42.893,Pratt-Willert,ELLICOTT,District B
3536,2020-12-06 14:00:00,Sexual Offense,-78.869 42.875,Ellicott,FILLMORE,District A
